,pagerank
[ROAD]206349299,6.400729022370062e-05
"[BUS]19.880574,50.080894",8.757435617087335e-05
[ROAD]206349424,6.733104356016597e-05
[ROAD]206349426,7.214535162717026e-05
[ROAD]206349428,7.454974364200524e-05
[ROAD]206349431,7.480791855223923e-05
[ROAD]206349435,0.00010041179208631724
[ROAD]206349442,7.956138484321599e-05
"[BUS]19.871823,50.080788",0.00010692130696027877
[ROAD]206349542,7.126187902977541e-05
[ROAD]206349580,6.748325100493418e-05
[ROAD]206349582,7.399796512190251e-05
[ROAD]206349645,6.654457088244649e-05
[ROAD]206349803,5.0145421175502855e-05
[ROAD]206349814,8.38310262448708e-05
[ROAD]206349818,7.754615759596914e-05
[ROAD]206349827,7.603230923345901e-05
[ROAD]206349869,6.473027545904393e-05
[ROAD]206349872,6.71492114375754e-05
[ROAD]206349954,3.1938708921154125e-05
[ROAD]206350017,5.196224776664269e-05
[ROAD]206350176,7.166778992732023e-05
[ROAD]206350267,5.2803387059626994e-05
[ROAD]206350271,6.599536914929705e-05
[ROAD]206350273,0.0001028907603735315
[ROAD]206350279,0.0001454378322589299
[ROAD]206350343,2.5522561220970362e-05
[ROAD]206350462,4.9004666910778996e-05
[ROAD]206350619,3.472788096875306e-05
[ROAD]206350629,9.166207505952135e-05
[ROAD]206350833,2.574148640863911e-05
[ROAD]206350843,0.00023130932464804571
"[BUS]19.915686,50.08168",0.00016597938768211004
[ROAD]206351242,0.00011927810935239089
[ROAD]206351244,0.0001149723997212677
[ROAD]206351247,0.00010176533458551659
"[BUS]19.918853,50.080283",0.00010219751383476152
"[BUS]19.915739,50.082391",0.00020200485026434866
[ROAD]206351484,0.00010356407681591176
"[BUS]19.921441,50.082987",8.284464192304751e-05
"[BUS]19.922972,50.083477",6.763949367673763e-05
[ROAD]206351490,0.00010047552596336897
[ROAD]206351791,5.636112103816097e-05
[ROAD]206351792,7.212830097792874e-05
[ROAD]206351797,8.892968485637005e-05
[ROAD]206351798,9.653898231217057e-05
[ROAD]206351809,8.601857299759188e-05
[ROAD]206351930,4.8142849448456034e-05
[ROAD]7703159032,7.139703508649405e-05
"[BUS]19.909574,50.083126",8.20945030587461e-05
"[BUS]19.908421,50.084387",5.274144535022127e-05
"[BUS]19.909292,50.087141",0.00010787932755759677
[ROAD]206352274,9.632311477118883e-05
[ROAD]206352275,6.075682588530564e-05
[ROAD]206352276,4.104935410180197e-05
[ROAD]206352278,3.1016500495887704e-05
[ROAD]206352280,4.0642864848338494e-05
[ROAD]206352532,6.969618669422007e-05
[ROAD]206352850,2.2161116584533328e-05
"[BUS]19.912068,50.088421",0.00015725762248521342
"[BUS]19.916476,50.085526",0.00012129366007767829
[ROAD]206352952,3.051020586440122e-05
[ROAD]206352955,6.62592899769822e-05
[ROAD]206352956,5.0564179248832525e-05
[ROAD]206352957,4.2969027846048074e-05
[ROAD]206352958,4.346799252444277e-05
"[BUS]19.914841,50.087844",8.589747630351754e-05
[ROAD]206353025,4.825589716088484e-05
