,eigen
"[BUS]19.943889,50.070453",7.932067310632485e-11
"[BUS]19.943453,50.068841",5.687974959817162e-11
[ROAD]207428888,3.896312410068239e-13
[ROAD]207433776,1.4548988325228142e-09
[ROAD]257659360,1.8131207467147655e-11
[ROAD]207435063,1.0349144467502664e-10
[ROAD]207435069,1.3786661850555584e-10
"[BUS]19.929498,50.071365",4.642163302569699e-09
[ROAD]261677476,7.562933056886861e-10
"[BUS]19.926495,50.069508",9.982852875729065e-10
"[BUS]19.925312,50.066986",3.072725566029281e-07
"[BUS]19.924486,50.065176",8.524360737001683e-07
"[BUS]19.925644,50.058153",5.6466997726918185e-06
"[BUS]19.927504,50.05518",4.108280913985178e-05
"[BUS]19.911634,50.046774",4.004928885006934e-11
"[BUS]19.921325,50.045406",4.5250172706465585e-09
[ROAD]207452710,3.987455330542326e-09
"[BUS]19.924614,50.046471",4.3539263802254575e-08
[ROAD]207460520,3.552321325077012e-05
[ROAD]207466618,1.4356886611307248e-12
[ROAD]207469742,4.616831600580421e-21
"[BUS]20.004218,50.067301",2.13057625091324e-17
[ROAD]207476158,2.020610076475246e-16
[ROAD]207476161,2.3465669082718473e-18
[ROAD]207476176,3.1475981304070465e-18
[ROAD]207476192,4.481651484870371e-19
[ROAD]207476221,2.4427996601065226e-16
[ROAD]1704926060,3.200642479212968e-17
[ROAD]207511820,8.80144843540681e-15
"[BUS]19.959686,50.067974",2.1884671055853726e-15
[ROAD]207511832,2.5231502097277863e-16
[ROAD]321460548,9.71645817622005e-17
[ROAD]207511979,1.3550566555934341e-13
[ROAD]1850270022,1.4374234340915095e-19
[ROAD]207513540,2.452205238589716e-22
[ROAD]207513543,1.2901611148147896e-23
"[BUS]19.96503,50.072704",1.248211594890456e-20
[ROAD]207513552,1.3525009077811914e-19
"[BUS]19.960114,50.073696",1.1870535922217623e-16
[ROAD]207515015,2.8145500618128265e-18
[ROAD]207515017,1.264362441306938e-19
[ROAD]207515019,2.4745794662855574e-18
[ROAD]207515022,1.0299325252425592e-16
[ROAD]207516230,4.271949269124426e-15
[ROAD]207516235,4.317972706374566e-12
[ROAD]207516239,2.418799746417178e-15
[ROAD]276256656,5.877245686613216e-17
[ROAD]207518103,4.699152881969987e-21
[ROAD]207518606,6.343080155849937e-20
[ROAD]207519162,4.2737663557606155e-16
"[BUS]19.961656,50.069426",5.563447551350267e-18
[ROAD]207519415,6.154498324029028e-17
[ROAD]207519416,6.704821371828604e-18
[ROAD]207519417,1.1099946300670718e-18
[ROAD]207520245,2.2343095766753344e-16
[ROAD]321780571,1.1006263933001702e-19
"[BUS]19.974097,50.08111",4.479829622943266e-17
"[BUS]19.979021,50.081328",7.66552871393416e-21
"[BUS]19.981224,50.080041",2.6821937064720463e-21
"[BUS]19.983032,50.078444",7.770491192714853e-23
"[BUS]19.983437,50.078009",1.5884839991039915e-21
"[BUS]19.985645,50.073858",1.7856893679565406e-22
"[BUS]19.981037,50.072578",2.0265495231141552e-19
"[BUS]19.982654,50.071688",3.4158912425831765e-20
[ROAD]213566130,6.413298750644786e-10
[ROAD]213566137,6.934202001589072e-10
[ROAD]213566140,1.2871341000622904e-11
[ROAD]213566163,1.778183196301384e-14
[ROAD]213566217,2.1744206515091186e-16
"[BUS]20.027556,50.093261",1.6950433811139517e-17
[ROAD]213566251,9.960466081107115e-17
[ROAD]213566254,2.458091103266804e-15
"[BUS]20.065166,50.087784",8.37314510217912e-09
[ROAD]213585924,8.089400425644906e-22
[ROAD]213608239,2.394061046968024e-19
[ROAD]213614893,6.400505591882333e-19
"[BUS]20.001254,50.087765",2.9007070096450705e-15
"[BUS]20.003528,50.089639",1.642144980400404e-16
"[BUS]20.005976,50.091579",7.522044270674318e-18
[ROAD]213614912,1.1597608381769004e-19
[ROAD]213618237,5.1125331894100925e-21
"[BUS]20.00519,50.074164",2.346929734415276e-22
[ROAD]213628855,3.789885869222481e-22
"[BUS]20.013608,50.075771",2.616246686681905e-19
[ROAD]213623209,3.406313467340835e-21
[ROAD]213625100,3.9121061753850846e-23
[ROAD]213625104,1.4443203807369232e-24
[ROAD]213626243,1.044519536144949e-21
"[BUS]20.015099,50.078724",9.609884853653853e-20
"[BUS]20.015566,50.079676",4.634607737876407e-22
"[BUS]20.015587,50.081331",2.2600675302988482e-18
"[BUS]20.017688,50.083436",4.761335198515175e-17
"[BUS]20.014546,50.077703",1.3715835732711112e-20
[ROAD]213642255,9.584786441712529e-20
"[BUS]19.875815,50.006308",9.049311071008508e-07
"[BUS]19.873667,50.007736",3.5864246787850242e-06
"[BUS]19.868821,50.002959",3.7465746947409125e-05
[ROAD]226009431,6.057773099251762e-11
[ROAD]226009897,1.7704395630712261e-15
"[BUS]19.93546,50.065656",1.0366241343727295e-16
[ROAD]226010060,8.426635094602621e-19
[ROAD]226010068,2.2619682192772258e-20
[ROAD]226010076,3.3864689857442706e-17
[ROAD]226834588,1.6558142035045218e-11
"[BUS]19.945116,50.070291",1.1039908140613518e-10
"[BUS]19.94882,50.07094",5.88780405449714e-13
"[BUS]19.949516,50.068871",4.874997348483607e-12
"[BUS]19.950554,50.06835",2.852897340891153e-12
[ROAD]269325540,5.182057185627217e-14
[ROAD]226034635,6.768820774891846e-19
[ROAD]1081160843,1.4895610509595064e-20
[ROAD]226056138,2.631848123458665e-13
"[BUS]19.936532,50.029196",3.3135703280480026e-08
[ROAD]226138988,1.521458842721891e-17
[ROAD]226139031,2.432132783756501e-19
[ROAD]274390182,1.2544068435397415e-20
[ROAD]226214987,6.227932973961884e-06
"[BUS]19.903849,50.056329",2.7226514497544956e-17
"[BUS]19.903533,50.056366",5.739244129225973e-19
[ROAD]247096831,0.06145179077248609
[ROAD]226524326,0.27775470969231686
[ROAD]226528565,0.08338092702494711
[ROAD]226529269,0.42940343522198837
"[BUS]19.934406,50.082909",4.770769446233336e-18
"[BUS]19.929511,50.075858",4.294753800689338e-17
[ROAD]226826871,4.926477607560098e-13
"[BUS]19.915551,50.072967",1.2694086304869017e-14
"[BUS]19.91647,50.07428",1.5817750385867828e-15
"[BUS]19.918473,50.079548",2.5936012210689627e-18
[ROAD]226830015,4.669349817895395e-21
[ROAD]226830352,9.738788245153871e-21
