,betweenness
[ROAD]206349428,0.0009284792438465038
[ROAD]206349431,0.0008978048661204413
[ROAD]206349435,0.0025085867441473958
[ROAD]206349442,0.0027771073403542387
"[BUS]19.871823,50.080788",0.004691490933902914
[ROAD]206349542,0.002414674446348691
[ROAD]206349580,0.000753914148787275
[ROAD]206349582,0.0006455051636406963
[ROAD]206349645,0.0010756848363142153
[ROAD]206349803,0.00010852681246178762
[ROAD]206349814,0.000537049047568034
[ROAD]206349818,0.0005492245368062919
[ROAD]206349827,0.000766215320495089
[ROAD]206349869,3.7469086236445206e-06
[ROAD]206349872,0.0004346414003427644
[ROAD]206349954,0.0
[ROAD]206350017,8.640669781989461e-08
[ROAD]206350176,1.2450419640412086e-05
[ROAD]206350267,1.9186214493190234e-06
[ROAD]206350271,0.001740861270229045
[ROAD]206350273,0.0004463023769712765
[ROAD]206350279,0.0044851674498177
[ROAD]206350343,0.00022939603619171245
[ROAD]206350462,0.0010157696465304656
[ROAD]206350619,0.0038363591937739796
[ROAD]206350629,0.0003791486624565239
[ROAD]206350833,0.00024049733307298212
[ROAD]206350843,0.0004574449134128693
"[BUS]19.915686,50.08168",0.0029033200328288894
[ROAD]206351242,0.001686293476767195
[ROAD]206351244,0.001998543717225252
[ROAD]206351247,0.002620420576589381
"[BUS]19.918853,50.080283",0.0036972876136328594
"[BUS]19.915739,50.082391",0.0033415158905137905
[ROAD]206351484,0.0004015005041516612
"[BUS]19.921441,50.082987",4.4852931322872565e-05
"[BUS]19.922972,50.083477",4.6506441312971455e-05
[ROAD]206351490,0.0004178352976167949
[ROAD]206351791,0.0012764233056585248
[ROAD]206351792,0.0003601902474394043
[ROAD]206351797,9.639059899526606e-05
[ROAD]206351798,0.0001726405822441494
[ROAD]206351809,0.0009290683804225486
[ROAD]206351930,0.0011657913118316707
[ROAD]7703159032,0.0009340917516276234
"[BUS]19.909574,50.083126",0.0015480663257184054
"[BUS]19.908421,50.084387",0.0017488637087203194
"[BUS]19.909292,50.087141",0.007300605979597996
[ROAD]206352274,0.0004335966648145784
[ROAD]206352275,0.0006504735487653402
[ROAD]206352276,0.001324712867008325
[ROAD]206352278,5.655711130029465e-07
[ROAD]206352280,3.062135543421856e-05
[ROAD]206352532,0.000469153020967465
[ROAD]206352850,7.855154347263146e-09
"[BUS]19.912068,50.088421",0.0031092271937336984
"[BUS]19.916476,50.085526",0.0028801748205446787
[ROAD]206352952,7.135098532097358e-08
[ROAD]206352955,0.0004219690725920421
[ROAD]206352956,0.000256379145970757
[ROAD]206352957,0.00012165539376084676
[ROAD]206352958,8.522842466780513e-06
"[BUS]19.914841,50.087844",0.00291250270826084
